index	alt	CO	O	CO2	O2
292	126.3999999999985	355525637.47055554	512978649.52777785	53894462028.41125	69768910.3802439
293	126.4999999999985	352324445.34527785	510185970.3033333	53337230404.06031	69272776.14804877
294	126.52	349123253.22	507393291.0788889	52779998779.709366	68776641.91585366
295	126.59999999999849	346998388.45288885	504600611.8544445	52222767155.35844	68280507.68365854
296	126.6999999999985	344873523.68577784	501807932.63	51665535531.0075	67784373.45146342
297	126.79999999999849	342748658.9186667	499015253.4055556	51108303906.65656	67288239.21926829
298	126.8999999999985	340623794.1515556	496222574.18111116	50551072282.30562	66792104.98707317
299	126.9999999999985	338498929.3844445	493429894.95666665	49993840657.95468	66295970.75487805
300	127.09999999999846	336374064.6173333	490637215.73222214	49436609033.60375	65799836.52268293
301	127.19999999999844	334249199.85022223	487844536.50777775	48879377409.252815	65303702.290487796
302	127.29999999999843	332124335.0831111	485051857.2833333	48322145784.90187	64807568.05829269
303	127.39999999999844	329999470.31600004	482259178.05888885	47764914160.55093	64311433.82609756
304	127.42	328937037.93244445	480862838.4466666	47207682536.2	63815299.59390244
305	127.49999999999844	327874605.54888886	479466498.83444434	46790169819.244514	63319165.36170732
306	127.59999999999843	325749740.78177786	476673819.61	46372657102.28903	62823031.129512206
307	127.69999999999844	323624876.0146667	473881140.38555545	45955144385.333534	62326896.89731707
308	127.79999999999842	321500011.24755555	471088461.1611111	45537631668.37806	61830762.66512195
309	127.8999999999984	319375146.48044443	468295781.9366666	45120118951.422585	61334628.43292683
310	127.9999999999984	317250281.71333337	465503102.71222216	44702606234.46709	60838494.20073171
311	128.0999999999984	315125416.94622225	462710423.4877777	44285093517.51161	60342359.96853658
312	128.1999999999984	313000552.1791111	459917744.2633333	43867580800.55613	59846225.73634146
313	128.2999999999984	310875687.412	457125065.0388889	43450068083.60065	59350091.50414634
314	128.39999999999839	308750822.6448889	454332385.81444436	43032555366.645164	58853957.27195122
315	128.45	307688390.26133335	451539706.59	42615042649.68968	58357823.039756104
316	128.49999999999838	306625957.8777778	450044964.2170833	42197529932.734184	57861688.80756098
317	128.59999999999835	304501093.1106667	448550221.8441666	41780017215.77871	57365554.57536586
318	128.69999999999837	302376228.3435556	447055479.47125	41362504498.823235	56869420.34317073
319	128.79999999999836	300251363.57644445	445560737.0983333	40944991781.86774	56373286.11097561
320	128.89999999999836	298126498.8093333	444065994.7254167	40527479064.912254	55877151.87878048
321	128.99999999999835	296001634.04222226	442571252.3525	40109966347.95677	55381017.64658537
322	129.09999999999835	293876769.27511114	441076509.9795833	39692453631.00129	54884883.41439025
323	129.19999999999834	291751904.508	439581767.6066666	39274940914.045815	54388749.18219513
324	129.25	290689472.1244445	438834396.42020833	39066184555.56807	53892614.95
325	129.29999999999833	289627039.7408889	438087025.23375	38857428197.09032	53532442.95878049
326	129.39999999999833	287502174.97377783	436592282.8608333	38439915480.134834	53172270.96756098
327	129.49999999999832	285377310.20666665	435097540.4879167	38022402763.17935	52812098.97634146
328	129.59999999999832	283252445.43955564	433602798.115	37604890046.22387	52451926.98512195
329	129.6999999999983	281127580.67244446	432108055.7420833	37187377329.26839	52091754.99390245
330	129.7999999999983	279002715.90533334	430613313.3691667	36769864612.3129	51731583.00268293
331	129.8999999999983	276877851.13822216	429118570.99625	36352351895.35742	51371411.01146342
332	129.9999999999983	274752986.3711111	427623828.6233333	35934839178.40193	51011239.02024391
333	130.0999999999983	272628121.60400003	426129086.25041664	35517326461.446465	50651067.02902439
334	130.19999999999828	270503256.8368889	424634343.8775	35099813744.49097	50290895.03780488
335	130.29999999999828	268378392.06977785	423139601.5045833	34682301027.535484	49930723.04658537
336	130.39	267315959.68622223	422392230.318125	34264788310.58	49570551.05536586
337	130.39999999999827	266253527.30266663	421644859.13166666	33971214847.704376	49210379.06414635
338	130.4999999999983	264128662.53555557	420150116.75875	33677641384.82875	48850207.07292683
339	130.59999999999826	262003797.7684444	418655374.3858333	33384067921.953125	48490035.08170732
